Interests,Skills,Goals,Budget,Location,University Match,Course
Law,Biomedical Research,Develop medical devices,Low,Pisa,University of Pisa,International Law
AI,Biomedical Research,Help people with mental health,High,Venice,Ca' Foscari University of Venice,Data Science
Economics,Graphic Design,Help people with mental health,High,Turin,University of Turin,Microeconomics
Economics,Legal Analysis,Develop medical devices,Medium,Genoa,University of Genoa,Microeconomics
Business,Legal Analysis,Design innovative products,High,Bologna,University of Bologna,Finance
Medicine,Data Science,Help people with mental health,Medium,Rome,LUISS Business School,Pharmacology
Biotechnology,Legal Analysis,Start a business,Low,Genoa,University of Genoa,Genetic Engineering
Business,Legal Analysis,Help people with mental health,High,Venice,Ca' Foscari University of Venice,Entrepreneurship
AI,Mechanical Engineering,Work in healthcare,Medium,Venice,Ca' Foscari University of Venice,Machine Learning
Arts,Biomedical Research,Work in healthcare,Low,Pisa,University of Pisa,Design
Business,Marketing,Develop medical devices,Medium,Pisa,University of Pisa,Finance
Business,Data Science,Work at a tech company,High,Florence,University of Florence,Finance
Physics,Data Science,Start a business,Low,Venice,Ca' Foscari University of Venice,Astrophysics
Economics,Graphic Design,Help people with mental health,Medium,Genoa,University of Genoa,Macroeconomics
Engineering,Mechanical Engineering,Develop medical devices,Low,Pisa,University of Pisa,Civil Engineering
Law,Python,Conduct economic research,High,Rome,Roma Tre University,Corporate Law
Engineering,Mechanical Engineering,Develop medical devices,Medium,Genoa,University of Genoa,Electrical Engineering
Psychology,Data Science,Work in healthcare,High,Venice,Ca' Foscari University of Venice,Cognitive Neuroscience
Biotechnology,Biomedical Research,Work in healthcare,Medium,Naples,University of Naples Federico II,Biopharmaceuticals
Biotechnology,Financial Analysis,Work at a tech company,High,Bologna,University of Bologna,Biopharmaceuticals
Business,Financial Analysis,Become a lawyer,Medium,Bologna,University of Bologna,Finance
Arts,Financial Analysis,Work at a tech company,Medium,Venice,Ca' Foscari University of Venice,Design
Law,Counseling,Conduct economic research,High,Rome,LUISS Business School,Corporate Law
Law,Mechanical Engineering,Start a business,Medium,Florence,University of Florence,Corporate Law
Economics,Mechanical Engineering,Become a lawyer,Medium,Naples,University of Naples Federico II,Microeconomics
Business,Legal Analysis,Work at a tech company,Low,Turin,University of Turin,Finance
AI,Graphic Design,Develop medical devices,Low,Milan,Bocconi University,Data Science
Medicine,Mechanical Engineering,Help people with mental health,Medium,Bologna,University of Bologna,Pharmacology
Physics,Legal Analysis,Work in healthcare,Low,Bologna,University of Bologna,Quantum Mechanics
Psychology,Mechanical Engineering,Help people with mental health,Low,Pisa,University of Pisa,Clinical Psychology
AI,Mechanical Engineering,Develop medical devices,Low,Florence,University of Florence,Artificial Intelligence
Psychology,Graphic Design,Work at a tech company,High,Bologna,University of Bologna,Clinical Psychology
AI,Counseling,Develop medical devices,High,Venice,Ca' Foscari University of Venice,Machine Learning
Business,Graphic Design,Design innovative products,Medium,Milan,Bocconi University,Business Administration
Business,Marketing,Become a lawyer,High,Venice,Ca' Foscari University of Venice,Entrepreneurship
Biotechnology,Marketing,Start a business,High,Genoa,University of Genoa,Genetic Engineering
Arts,Counseling,Become a lawyer,Medium,Pisa,University of Pisa,Fine Arts
Law,Financial Analysis,Help people with mental health,Medium,Bologna,University of Bologna,Criminal Law
Medicine,Financial Analysis,Become a lawyer,High,Milan,University of Milan,Surgery
Economics,Biomedical Research,Work at a tech company,Low,Naples,University of Naples Federico II,Macroeconomics
Biotechnology,Counseling,Design innovative products,Low,Florence,University of Florence,Biopharmaceuticals
Engineering,Python,Work in healthcare,Low,Bologna,University of Bologna,Civil Engineering
Medicine,Marketing,Help people with mental health,Medium,Turin,Politecnico di Torino,Pharmacology
Medicine,Marketing,Work at a tech company,Low,Genoa,University of Genoa,General Medicine
Business,Python,Conduct economic research,Medium,Milan,Politecnico di Milano,Business Administration
Business,Graphic Design,Become a lawyer,Low,Rome,LUISS Business School,Entrepreneurship
Engineering,Mechanical Engineering,Start a business,High,Pisa,University of Pisa,Electrical Engineering
Biotechnology,Counseling,Conduct economic research,Low,Genoa,University of Genoa,Biopharmaceuticals
Biotechnology,Graphic Design,Design innovative products,Low,Pisa,University of Pisa,Genetic Engineering
Economics,Data Science,Start a business,Medium,Milan,Bocconi University,Macroeconomics
Arts,Data Science,Become a lawyer,High,Rome,Roma Tre University,Fine Arts
Business,Graphic Design,Work in healthcare,High,Naples,University of Naples Federico II,Finance
Arts,Legal Analysis,Start a business,Low,Venice,Ca' Foscari University of Venice,Music
Psychology,Mechanical Engineering,Conduct economic research,Low,Rome,Roma Tre University,Cognitive Neuroscience
Arts,Financial Analysis,Work in healthcare,Medium,Milan,University of Milan,Design
Physics,Data Science,Conduct economic research,Low,Venice,Ca' Foscari University of Venice,Astrophysics
Arts,Data Science,Develop medical devices,Medium,Rome,Sapienza University of Rome,Design
Physics,Counseling,Develop medical devices,High,Turin,Politecnico di Torino,Astrophysics
Law,Graphic Design,Work at a tech company,High,Venice,Ca' Foscari University of Venice,Criminal Law
AI,Legal Analysis,Start a business,Low,Pisa,University of Pisa,Machine Learning
Business,Counseling,Design innovative products,Medium,Pisa,University of Pisa,Entrepreneurship
AI,Graphic Design,Become a lawyer,Low,Turin,University of Turin,Artificial Intelligence
Business,Graphic Design,Work in healthcare,High,Venice,Ca' Foscari University of Venice,Entrepreneurship
Psychology,Marketing,Work in healthcare,Medium,Turin,Politecnico di Torino,Clinical Psychology
Physics,Graphic Design,Help people with mental health,Low,Genoa,University of Genoa,Quantum Mechanics
Biotechnology,Mechanical Engineering,Start a business,High,Milan,Bocconi University,Genetic Engineering
Law,Python,Help people with mental health,Low,Venice,Ca' Foscari University of Venice,International Law
Medicine,Counseling,Work at a tech company,Medium,Genoa,University of Genoa,Surgery
Biotechnology,Marketing,Become a lawyer,High,Milan,Politecnico di Milano,Biopharmaceuticals
Law,Counseling,Help people with mental health,Medium,Bologna,University of Bologna,Criminal Law
Psychology,Legal Analysis,Design innovative products,Medium,Rome,LUISS Business School,Cognitive Neuroscience
Physics,Data Science,Help people with mental health,Low,Pisa,University of Pisa,Astrophysics
Economics,Mechanical Engineering,Develop medical devices,Medium,Bologna,University of Bologna,Microeconomics
Physics,Financial Analysis,Design innovative products,Low,Milan,Bocconi University,Quantum Mechanics
Economics,Counseling,Help people with mental health,Low,Turin,University of Turin,Microeconomics
Economics,Legal Analysis,Work at a tech company,Medium,Rome,LUISS Business School,Microeconomics
Biotechnology,Marketing,Help people with mental health,Medium,Rome,LUISS Business School,Genetic Engineering
Arts,Graphic Design,Design innovative products,High,Turin,University of Turin,Music
Economics,Biomedical Research,Conduct economic research,Low,Pisa,University of Pisa,Microeconomics
Biotechnology,Graphic Design,Become a lawyer,Low,Rome,LUISS Business School,Genetic Engineering
Biotechnology,Financial Analysis,Become a lawyer,Low,Turin,University of Turin,Genetic Engineering
Biotechnology,Legal Analysis,Conduct economic research,High,Genoa,University of Genoa,Biopharmaceuticals
Business,Financial Analysis,Help people with mental health,High,Milan,University of Milan,Finance
Economics,Data Science,Design innovative products,Low,Venice,Ca' Foscari University of Venice,Macroeconomics
Physics,Python,Develop medical devices,Medium,Rome,Roma Tre University,Astrophysics
Medicine,Counseling,Work at a tech company,High,Florence,University of Florence,Pharmacology
Arts,Marketing,Work in healthcare,High,Turin,University of Turin,Music
Economics,Financial Analysis,Work in healthcare,Low,Bologna,University of Bologna,Macroeconomics
Arts,Counseling,Conduct economic research,Medium,Florence,University of Florence,Fine Arts
Business,Biomedical Research,Help people with mental health,Low,Milan,University of Milan,Finance
Psychology,Financial Analysis,Work in healthcare,Medium,Genoa,University of Genoa,Clinical Psychology
Medicine,Python,Work at a tech company,Medium,Turin,University of Turin,General Medicine
Law,Python,Start a business,High,Venice,Ca' Foscari University of Venice,International Law
Law,Data Science,Become a lawyer,Low,Genoa,University of Genoa,International Law
Law,Legal Analysis,Help people with mental health,Low,Bologna,University of Bologna,Criminal Law
Law,Graphic Design,Work at a tech company,High,Pisa,University of Pisa,International Law
AI,Graphic Design,Work in healthcare,Medium,Bologna,University of Bologna,Artificial Intelligence
Physics,Biomedical Research,Work at a tech company,High,Venice,Ca' Foscari University of Venice,Quantum Mechanics
Medicine,Legal Analysis,Develop medical devices,Low,Florence,University of Florence,Pharmacology
AI,Data Science,Become a lawyer,Medium,Genoa,University of Genoa,Artificial Intelligence
Arts,Financial Analysis,Develop medical devices,Medium,Turin,University of Turin,Music
Biotechnology,Mechanical Engineering,Develop medical devices,High,Naples,University of Naples Federico II,Biopharmaceuticals
Psychology,Data Science,Develop medical devices,High,Florence,University of Florence,Cognitive Neuroscience
Law,Legal Analysis,Help people with mental health,Medium,Pisa,University of Pisa,Criminal Law
Biotechnology,Marketing,Develop medical devices,Low,Florence,University of Florence,Biopharmaceuticals
Business,Graphic Design,Conduct economic research,High,Pisa,University of Pisa,Entrepreneurship
Medicine,Marketing,Design innovative products,Low,Venice,Ca' Foscari University of Venice,General Medicine
Biotechnology,Data Science,Conduct economic research,Low,Bologna,University of Bologna,Biopharmaceuticals
Medicine,Graphic Design,Become a lawyer,High,Bologna,University of Bologna,Pharmacology
AI,Mechanical Engineering,Help people with mental health,Low,Turin,Politecnico di Torino,Data Science
Physics,Marketing,Work at a tech company,Medium,Milan,Bocconi University,Quantum Mechanics
Economics,Financial Analysis,Conduct economic research,Medium,Turin,University of Turin,Microeconomics
Law,Python,Design innovative products,Low,Bologna,University of Bologna,Criminal Law
Law,Counseling,Become a lawyer,Medium,Bologna,University of Bologna,Corporate Law
Biotechnology,Python,Help people with mental health,Medium,Venice,Ca' Foscari University of Venice,Genetic Engineering
AI,Graphic Design,Start a business,High,Genoa,University of Genoa,Artificial Intelligence
AI,Marketing,Design innovative products,Medium,Rome,LUISS Business School,Data Science
AI,Graphic Design,Become a lawyer,High,Bologna,University of Bologna,Artificial Intelligence
Arts,Counseling,Work in healthcare,High,Pisa,University of Pisa,Fine Arts
Arts,Biomedical Research,Start a business,Medium,Milan,Bocconi University,Music
Engineering,Data Science,Design innovative products,Low,Bologna,University of Bologna,Mechanical Engineering
Physics,Marketing,Help people with mental health,High,Bologna,University of Bologna,Quantum Mechanics
Physics,Biomedical Research,Work in healthcare,Low,Turin,Politecnico di Torino,Quantum Mechanics
Psychology,Python,Conduct economic research,Low,Milan,Politecnico di Milano,Cognitive Neuroscience
Arts,Counseling,Design innovative products,Low,Genoa,University of Genoa,Fine Arts
AI,Mechanical Engineering,Design innovative products,Medium,Bologna,University of Bologna,Artificial Intelligence
Medicine,Data Science,Work in healthcare,High,Genoa,University of Genoa,Surgery
Biotechnology,Data Science,Conduct economic research,High,Rome,Roma Tre University,Genetic Engineering
Arts,Marketing,Develop medical devices,Medium,Venice,Ca' Foscari University of Venice,Fine Arts
Biotechnology,Python,Conduct economic research,Medium,Venice,Ca' Foscari University of Venice,Biopharmaceuticals
Arts,Python,Conduct economic research,High,Turin,Politecnico di Torino,Fine Arts
Arts,Biomedical Research,Become a lawyer,Low,Genoa,University of Genoa,Fine Arts
Business,Counseling,Conduct economic research,Low,Bologna,University of Bologna,Finance
Law,Biomedical Research,Start a business,Medium,Turin,Politecnico di Torino,Criminal Law
Medicine,Graphic Design,Conduct economic research,Medium,Genoa,University of Genoa,General Medicine
Physics,Graphic Design,Become a lawyer,Low,Rome,LUISS Business School,Astrophysics
Psychology,Financial Analysis,Become a lawyer,High,Turin,University of Turin,Clinical Psychology
Medicine,Counseling,Design innovative products,Low,Venice,Ca' Foscari University of Venice,Surgery
Medicine,Biomedical Research,Start a business,Low,Genoa,University of Genoa,Pharmacology
Law,Biomedical Research,Start a business,Low,Rome,LUISS Business School,International Law
Arts,Counseling,Become a lawyer,Low,Venice,Ca' Foscari University of Venice,Fine Arts
Arts,Data Science,Start a business,Medium,Venice,Ca' Foscari University of Venice,Music
AI,Mechanical Engineering,Start a business,Low,Naples,University of Naples Federico II,Artificial Intelligence
Business,Biomedical Research,Start a business,Low,Florence,University of Florence,Finance
Engineering,Biomedical Research,Become a lawyer,Low,Turin,Politecnico di Torino,Electrical Engineering
Arts,Counseling,Start a business,Low,Venice,Ca' Foscari University of Venice,Music
Law,Python,Conduct economic research,High,Florence,University of Florence,International Law
Biotechnology,Mechanical Engineering,Become a lawyer,Low,Milan,Bocconi University,Genetic Engineering
Psychology,Data Science,Conduct economic research,Low,Pisa,University of Pisa,Clinical Psychology
Business,Financial Analysis,Work in healthcare,Medium,Florence,University of Florence,Entrepreneurship
Physics,Marketing,Design innovative products,Low,Turin,Politecnico di Torino,Quantum Mechanics
Biotechnology,Legal Analysis,Work at a tech company,Medium,Rome,Roma Tre University,Biopharmaceuticals
Business,Marketing,Design innovative products,Medium,Genoa,University of Genoa,Business Administration
Biotechnology,Legal Analysis,Work at a tech company,High,Naples,University of Naples Federico II,Biopharmaceuticals
Economics,Graphic Design,Help people with mental health,Medium,Pisa,University of Pisa,Microeconomics
Psychology,Biomedical Research,Work in healthcare,High,Turin,Politecnico di Torino,Cognitive Neuroscience
Medicine,Graphic Design,Help people with mental health,Low,Turin,Politecnico di Torino,General Medicine
Biotechnology,Graphic Design,Conduct economic research,Low,Florence,University of Florence,Biopharmaceuticals
Medicine,Financial Analysis,Start a business,Low,Turin,Politecnico di Torino,General Medicine
AI,Python,Start a business,Medium,Bologna,University of Bologna,Data Science
Arts,Financial Analysis,Work in healthcare,Medium,Milan,Bocconi University,Fine Arts
Medicine,Biomedical Research,Design innovative products,High,Turin,University of Turin,Pharmacology
Business,Counseling,Conduct economic research,High,Florence,University of Florence,Entrepreneurship
AI,Biomedical Research,Become a lawyer,High,Rome,Roma Tre University,Machine Learning
Law,Biomedical Research,Start a business,Medium,Naples,University of Naples Federico II,Corporate Law
Engineering,Marketing,Work in healthcare,High,Venice,Ca' Foscari University of Venice,Civil Engineering
Psychology,Biomedical Research,Help people with mental health,High,Pisa,University of Pisa,Clinical Psychology
Law,Financial Analysis,Work in healthcare,Low,Venice,Ca' Foscari University of Venice,Criminal Law
Business,Python,Conduct economic research,Medium,Rome,Roma Tre University,Finance
Psychology,Graphic Design,Conduct economic research,Low,Rome,LUISS Business School,Clinical Psychology
Medicine,Financial Analysis,Help people with mental health,Medium,Genoa,University of Genoa,Surgery
Law,Biomedical Research,Design innovative products,Low,Pisa,University of Pisa,Corporate Law
Arts,Financial Analysis,Work in healthcare,Low,Naples,University of Naples Federico II,Fine Arts
Business,Biomedical Research,Work at a tech company,Medium,Florence,University of Florence,Entrepreneurship
Law,Python,Become a lawyer,Low,Milan,Bocconi University,Criminal Law
Business,Data Science,Work in healthcare,Medium,Turin,University of Turin,Entrepreneurship
Psychology,Legal Analysis,Become a lawyer,Low,Milan,University of Milan,Cognitive Neuroscience
AI,Marketing,Work in healthcare,Medium,Bologna,University of Bologna,Data Science
Law,Financial Analysis,Develop medical devices,Medium,Bologna,University of Bologna,Criminal Law
Law,Biomedical Research,Become a lawyer,High,Naples,University of Naples Federico II,Corporate Law
Arts,Financial Analysis,Work at a tech company,Low,Florence,University of Florence,Music
Medicine,Graphic Design,Conduct economic research,Low,Milan,University of Milan,Pharmacology
Biotechnology,Data Science,Conduct economic research,High,Naples,University of Naples Federico II,Genetic Engineering
AI,Data Science,Work at a tech company,Medium,Rome,LUISS Business School,Data Science
Physics,Financial Analysis,Become a lawyer,High,Turin,University of Turin,Quantum Mechanics
Medicine,Biomedical Research,Become a lawyer,Medium,Turin,University of Turin,Surgery
